X 		 Y 		 Z 
9 		 60 		  0.31038513 
9 		 59 		  0.41929904 
9 		 58 		  0.45086996 
9 		 57 		  0.64764134 
9 		 56 		  0.23951876 
9 		 55 		  0.66606211 
9 		 54 		  0.65341132 
9 		 53 		  0.66391112 
9 		 52 		  0.66876527 
9 		 51 		  0.64055317 
9 		 50 		  0.66831728 
9 		 49 		  0.66886212 
9 		 48 		  0.64707044 
9 		 47 		  0.01717097 
9 		 46 		  0.02163009 
9 		 45 		  0.00118922 
9 		 44 		  0.00885410 
9 		 42 		  0.16657423 
9 		 38 		  0.67316728 
9 		 37 		  0.70961797 
9 		 36 		  0.82750850 
9 		 35 		  0.00065766 
9 		 34 		  0.00656941 
9 		 33 		  0.00056487 
9 		 31 		  0.00500905 
9 		 30 		  0.00820094 
9 		 29 		  0.00158969 
9 		 28 		  0.00033830 
9 		 27 		  0.06648765 
9 		 24 		  0.09176524 
9 		 23 		  0.67808769 
9 		 22 		  0.00067196 
9 		 21 		  0.00016484 
9 		 19 		  0.01679429 
9 		 18 		  0.00047406 
9 		 16 		  0.00012914 
10 		 99 		  0.68410975 
10 		 98 		  0.00843047 
10 		 97 		  0.64674422 
10 		 96 		  0.68106981 
10 		 94 		  0.13175110 
10 		 93 		  0.00353505 
10 		 92 		  0.02920655 
10 		 91 		  0.00782887 
10 		 90 		  0.02663298 
10 		 89 		  0.00048476 
10 		 88 		  0.00465681 
10 		 87 		  0.00962192 
10 		 86 		  0.33797124 
10 		 85 		  0.26964074 
10 		 84 		  0.31794521 
10 		 83 		  0.32125732 
10 		 82 		  0.29288937 
10 		 81 		  0.28058274 
10 		 80 		  0.01332882 
10 		 79 		  0.23367994 
10 		 78 		  0.00141618 
10 		 77 		  0.00065247 
10 		 76 		  0.00196975 
10 		 75 		  0.01536389 
10 		 74 		  0.05378196 
10 		 73 		  0.00444810 
10 		 72 		  0.34252423 
10 		 71 		  0.50657189 
10 		 70 		  0.00040097 
10 		 69 		  0.06026928 
10 		 68 		  0.19002067 
10 		 67 		  0.00049043 
10 		 66 		  0.00261980 
10 		 65 		  0.00106993 
10 		 64 		  0.62994009 
10 		 63 		  0.00782710 
10 		 62 		  0.31878960 
10 		 61 		  0.00441445 
10 		 60 		  0.03409740 
10 		 59 		  0.00810027 
10 		 57 		  0.01260175 
10 		 56 		  0.58447397 
10 		 55 		  0.06650072 
10 		 54 		  0.13004227 
10 		 53 		  0.10227893 
10 		 52 		  0.07420761 
10 		 51 		  0.15715210 
10 		 50 		  0.07822452 
10 		 49 		  0.09019171 
10 		 47 		  0.01464569 
10 		 46 		  0.01661378 
10 		 45 		  0.00117487 
10 		 44 		  0.00586834 
10 		 42 		  0.62856078 
10 		 39 		  0.00054289 
10 		 38 		  0.01025647 
10 		 37 		  0.00871753 
10 		 36 		  0.00450703 
10 		 35 		  0.00024949 
10 		 34 		  0.00135814 
10 		 33 		  0.00020573 
10 		 31 		  0.00091305 
10 		 30 		  0.00152836 
10 		 29 		  0.00037638 
10 		 27 		  0.00816167 
10 		 24 		  0.01467554 
10 		 23 		  0.00380955 
10 		 22 		  0.00012153 
10 		 19 		  0.00285199 
11 		 99 		  0.00641425 
11 		 98 		  0.00031732 
11 		 97 		  0.03193884 
11 		 96 		  0.00675238 
11 		 94 		  0.00024258 
11 		 92 		  0.00012239 
11 		 88 		  0.72792545 
11 		 87 		  0.02266728 
11 		 86 		  0.10542942 
11 		 85 		  0.04573055 
11 		 84 		  0.10150709 
11 		 83 		  0.10184490 
11 		 82 		  0.10186408 
11 		 81 		  0.08470989 
11 		 80 		  0.00036240 
11 		 79 		  0.05327028 
11 		 78 		  0.00048574 
11 		 77 		  0.00226154 
11 		 76 		  0.00033990 
11 		 75 		  0.00512653 
11 		 74 		  0.01476031 
11 		 73 		  0.00013499 
11 		 72 		  0.21891154 
11 		 71 		  0.08149646 
11 		 70 		  0.00464474 
11 		 69 		  0.03333781 
11 		 68 		  0.10993182 
11 		 67 		  0.00013291 
11 		 66 		  0.01638614 
11 		 65 		  0.00237092 
11 		 64 		  0.05288912 
11 		 63 		  0.01037472 
11 		 62 		  0.34901615 
11 		 61 		  0.00258872 
11 		 60 		  0.01948632 
11 		 59 		  0.03493729 
11 		 58 		  0.04941061 
11 		 57 		  0.03876516 
11 		 56 		  0.00215644 
11 		 55 		  0.03367802 
11 		 54 		  0.03500653 
11 		 53 		  0.03435947 
11 		 52 		  0.03315473 
11 		 51 		  0.03791370 
11 		 50 		  0.03339379 
11 		 49 		  0.03462299 
11 		 48 		  0.00353665 
11 		 47 		  0.01271039 
11 		 46 		  0.01401860 
11 		 45 		  0.00124750 
11 		 44 		  0.00265253 
11 		 42 		  0.07438327 
11 		 39 		  0.00020219 
11 		 38 		  0.00068383 
11 		 37 		  0.00048832 
11 		 34 		  0.00039050 
11 		 31 		  0.00027158 
11 		 30 		  0.00043727 
11 		 29 		  0.00011805 
11 		 27 		  0.00153716 
11 		 24 		  0.00313530 
11 		 19 		  0.00063509 
12 		 100 		  0.00073295 
12 		 99 		  0.00374447 
12 		 98 		  0.00105977 
12 		 97 		  0.02479662 
12 		 96 		  0.00863271 
12 		 94 		  0.00418455 
12 		 92 		  0.00122700 
12 		 91 		  0.00038788 
12 		 90 		  0.00134864 
12 		 88 		  0.00954878 
12 		 87 		  0.00084854 
12 		 86 		  0.00018511 
12 		 85 		  0.00038183 
12 		 84 		  0.00031800 
12 		 83 		  0.00034391 
12 		 82 		  0.00040268 
12 		 79 		  0.00011615 
12 		 78 		  0.01249767 
12 		 77 		  0.00072142 
12 		 76 		  0.00012676 
12 		 75 		  0.00841059 
12 		 74 		  0.01549920 
12 		 73 		  0.00071432 
12 		 72 		  0.02225870 
12 		 71 		  0.00982137 
12 		 70 		  0.00150819 
12 		 69 		  0.00768552 
12 		 68 		  0.02162474 
12 		 66 		  0.00365708 
12 		 65 		  0.00054291 
12 		 64 		  0.00235853 
12 		 63 		  0.00098228 
12 		 61 		  0.00015222 
12 		 60 		  0.00371897 
12 		 59 		  0.00546495 
12 		 58 		  0.00660968 
12 		 57 		  0.00482893 
12 		 55 		  0.00428438 
12 		 54 		  0.00426495 
12 		 53 		  0.00424808 
12 		 52 		  0.00418644 
12 		 51 		  0.00456155 
12 		 50 		  0.00419796 
12 		 49 		  0.00429791 
12 		 48 		  0.00036771 
12 		 47 		  0.00297027 
12 		 46 		  0.00327295 
12 		 45 		  0.00030437 
12 		 44 		  0.00058989 
12 		 42 		  0.01145416 
12 		 34 		  0.00012820 
12 		 30 		  0.00014356 
12 		 27 		  0.00034070 
12 		 24 		  0.00083964 
12 		 19 		  0.00016521 
13 		 100 		  0.00229396 
13 		 99 		  0.00133640 
13 		 98 		  0.00187854 
13 		 97 		  0.01611893 
13 		 96 		  0.00243810 
13 		 94 		  0.00104761 
13 		 93 		  0.00094019 
13 		 92 		  0.00901235 
13 		 91 		  0.00146643 
13 		 90 		  0.00527345 
13 		 88 		  0.00720283 
13 		 87 		  0.00350198 
13 		 86 		  0.00828906 
13 		 85 		  0.00209515 
13 		 84 		  0.00871242 
13 		 83 		  0.00878527 
13 		 82 		  0.00889618 
13 		 81 		  0.00674484 
13 		 80 		  0.00108294 
13 		 77 		  0.00025843 
13 		 75 		  0.00140437 
13 		 74 		  0.00413359 
13 		 72 		  0.00957335 
13 		 71 		  0.00207617 
